task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,25,2,20000,32,20,droid,0,1.0,1.0,0.0,per_seed
button-press,25,2,20000,32,20,droid,1,1.0,1.0,0.0,per_seed
button-press,25,2,20000,32,20,droid,2,1.0,1.0,0.0,per_seed
assembly,25,2,20000,32,20,droid,0,0.2,0.1833,0.0236,per_seed
assembly,25,2,20000,32,20,droid,1,0.2,0.1833,0.0236,per_seed
assembly,25,2,20000,32,20,droid,2,0.15,0.1833,0.0236,per_seed
bin-picking,25,2,20000,32,20,droid,0,0.5,0.6667,0.1247,per_seed
bin-picking,25,2,20000,32,20,droid,1,0.8,0.6667,0.1247,per_seed
bin-picking,25,2,20000,32,20,droid,2,0.7,0.6667,0.1247,per_seed
drawer-open,25,2,20000,32,20,droid,0,1.0,1.0,0.0,per_seed
drawer-open,25,2,20000,32,20,droid,1,1.0,1.0,0.0,per_seed
drawer-open,25,2,20000,32,20,droid,2,1.0,1.0,0.0,per_seed
hammer,25,2,20000,32,20,droid,0,1.0,0.85,0.108,per_seed
hammer,25,2,20000,32,20,droid,1,0.8,0.85,0.108,per_seed
hammer,25,2,20000,32,20,droid,2,0.75,0.85,0.108,per_seed
AVERAGE,25,all,20000,32,20,droid,all,N/A,0.74,0.0513,summary
