task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,25,2,20000,32,20,droid,0,1.0,1.0,0.0,per_seed
button-press,25,2,20000,32,20,droid,1,1.0,1.0,0.0,per_seed
button-press,25,2,20000,32,20,droid,2,1.0,1.0,0.0,per_seed
assembly,25,2,20000,32,20,droid,0,0.25,0.3,0.0707,per_seed
assembly,25,2,20000,32,20,droid,1,0.25,0.3,0.0707,per_seed
assembly,25,2,20000,32,20,droid,2,0.4,0.3,0.0707,per_seed
bin-picking,25,2,20000,32,20,droid,0,0.35,0.45,0.108,per_seed
bin-picking,25,2,20000,32,20,droid,1,0.4,0.45,0.108,per_seed
bin-picking,25,2,20000,32,20,droid,2,0.6,0.45,0.108,per_seed
drawer-open,25,2,20000,32,20,droid,0,1.0,1.0,0.0,per_seed
drawer-open,25,2,20000,32,20,droid,1,1.0,1.0,0.0,per_seed
drawer-open,25,2,20000,32,20,droid,2,1.0,1.0,0.0,per_seed
hammer,25,2,20000,32,20,droid,0,0.95,0.8667,0.1546,per_seed
hammer,25,2,20000,32,20,droid,1,1.0,0.8667,0.1546,per_seed
hammer,25,2,20000,32,20,droid,2,0.65,0.8667,0.1546,per_seed
AVERAGE,25,all,20000,32,20,droid,all,N/A,0.7233,0.0667,summary
