task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,25,1,20000,32,20,droid,0,1.0,1.0,0.0,per_seed
button-press,25,1,20000,32,20,droid,1,1.0,1.0,0.0,per_seed
button-press,25,1,20000,32,20,droid,2,1.0,1.0,0.0,per_seed
assembly,25,1,20000,32,20,droid,0,0.3,0.4,0.108,per_seed
assembly,25,1,20000,32,20,droid,1,0.35,0.4,0.108,per_seed
assembly,25,1,20000,32,20,droid,2,0.55,0.4,0.108,per_seed
bin-picking,25,1,20000,32,20,droid,0,0.7,0.5167,0.1312,per_seed
bin-picking,25,1,20000,32,20,droid,1,0.4,0.5167,0.1312,per_seed
bin-picking,25,1,20000,32,20,droid,2,0.45,0.5167,0.1312,per_seed
drawer-open,25,1,20000,32,20,droid,0,1.0,1.0,0.0,per_seed
drawer-open,25,1,20000,32,20,droid,1,1.0,1.0,0.0,per_seed
drawer-open,25,1,20000,32,20,droid,2,1.0,1.0,0.0,per_seed
hammer,25,1,20000,32,20,droid,0,1.0,0.8333,0.2014,per_seed
hammer,25,1,20000,32,20,droid,1,0.95,0.8333,0.2014,per_seed
hammer,25,1,20000,32,20,droid,2,0.55,0.8333,0.2014,per_seed
AVERAGE,25,all,20000,32,20,droid,all,N/A,0.75,0.0881,summary
